produkt_id,produkt,wariant_id,pozycja,szerokosc_od_mm,szerokosc_do_mm,wysokosc_od_mm,wysokosc_do_mm,minimalna_glebokosc_mm,wykonczenie,cena_brutto_pln,zrodlo_selly
6350,Roleta meblowa pionowa na wymiar zawijana na górze szafki z systemem C3 - DOCINAMY NA WYMIAR,729,75,826,1200,1401,1600,300,Aluminium decor,1899,https://www.intago.com.pl/adm/?a=produkty.produktWarianty&produkt=6350
6350,Roleta meblowa pionowa na wymiar zawijana na górze szafki z systemem C3 - DOCINAMY NA WYMIAR,730,76,826,1200,1401,1600,300,Biały RAL 9010,1899,https://www.intago.com.pl/adm/?a=produkty.produktWarianty&produkt=6350
6350,Roleta meblowa pionowa na wymiar zawijana na górze szafki z systemem C3 - DOCINAMY NA WYMIAR,731,77,826,1200,1601,1800,300,Aluminium decor,1937,https://www.intago.com.pl/adm/?a=produkty.produktWarianty&produkt=6350
6350,Roleta meblowa pionowa na wymiar zawijana na górze szafki z systemem C3 - DOCINAMY NA WYMIAR,732,78,826,1200,1601,1800,300,Biały RAL 9010,1937,https://www.intago.com.pl/adm/?a=produkty.produktWarianty&produkt=6350
6350,Roleta meblowa pionowa na wymiar zawijana na górze szafki z systemem C3 - DOCINAMY NA WYMIAR,733,79,826,1200,1801,2000,300,Aluminium decor,2050,https://www.intago.com.pl/adm/?a=produkty.produktWarianty&produkt=6350
6350,Roleta meblowa pionowa na wymiar zawijana na górze szafki z systemem C3 - DOCINAMY NA WYMIAR,734,80,826,1200,1801,2000,300,Biały RAL 9010,2050,https://www.intago.com.pl/adm/?a=produkty.produktWarianty&produkt=6350
6350,Roleta meblowa pionowa na wymiar zawijana na górze szafki z systemem C3 - DOCINAMY NA WYMIAR,735,81,826,1200,2001,2200,300,Aluminium decor,2163,https://www.intago.com.pl/adm/?a=produkty.produktWarianty&produkt=6350
6350,Roleta meblowa pionowa na wymiar zawijana na górze szafki z systemem C3 - DOCINAMY NA WYMIAR,736,82,826,1200,2001,2200,300,Biały RAL 9010,2163,https://www.intago.com.pl/adm/?a=produkty.produktWarianty&produkt=6350
6350,Roleta meblowa pionowa na wymiar zawijana na górze szafki z systemem C3 - DOCINAMY NA WYMIAR,737,83,826,1200,350,625,300,Aluminium decor,1303,https://www.intago.com.pl/adm/?a=produkty.produktWarianty&produkt=6350
6350,Roleta meblowa pionowa na wymiar zawijana na górze szafki z systemem C3 - DOCINAMY NA WYMIAR,738,84,826,1200,350,625,300,Biały RAL 9010,1303,https://www.intago.com.pl/adm/?a=produkty.produktWarianty&produkt=6350
6346,Roleta meblowa pionowa na wymiar zawijana na tył szafki z systemem wspomagającym C6 - DOCINAMY NA WYMIAR,575,1,100,349,300,420,,Aluminium decor,328,https://www.intago.com.pl/adm/?a=produkty.produktWarianty&produkt=6346
6346,Roleta meblowa pionowa na wymiar zawijana na tył szafki z systemem wspomagającym C6 - DOCINAMY NA WYMIAR,576,2,100,349,300,420,,Biały RAL 9010,328,https://www.intago.com.pl/adm/?a=produkty.produktWarianty&produkt=6346
6346,Roleta meblowa pionowa na wymiar zawijana na tył szafki z systemem wspomagającym C6 - DOCINAMY NA WYMIAR,577,3,100,349,421,500,,Aluminium decor,351,https://www.intago.com.pl/adm/?a=produkty.produktWarianty&produkt=6346
6346,Roleta meblowa pionowa na wymiar zawijana na tył szafki z systemem wspomagającym C6 - DOCINAMY NA WYMIAR,578,4,100,349,421,500,,Biały RAL 9010,351,https://www.intago.com.pl/adm/?a=produkty.produktWarianty&produkt=6346
6346,Roleta meblowa pionowa na wymiar zawijana na tył szafki z systemem wspomagającym C6 - DOCINAMY NA WYMIAR,579,5,100,349,501,625,,Aluminium decor,374,https://www.intago.com.pl/adm/?a=produkty.produktWarianty&produkt=6346
